Integral = 0.1189862515, N = 14

	N=14		N=140		N=1400		N=14000		N=140000		N=1400000	
1	0.000003	0.000005	0.000047	0.000485	0.004784	0.048202
2	0.000012	0.000004	0.000027	0.000236	0.002432	0.024075
3	0.000045	0.000009	0.000034	0.000198	0.001769	0.023162
4	0.000064	0.000007	0.000022	0.000208	0.002992	0.020681
5	0.000067	0.000004	0.000011	0.000162	0.001538	0.015813
6	0.001788	0.000004	0.000009	0.000163	0.000930	0.012007
7	0.000163	0.000003	0.000012	0.000119	0.001138	0.011755
8	0.003625	0.000006	0.000011	0.000102	0.005400	0.013404
9	0.005802	0.000005	0.000010	0.000108	0.001081	0.012334
10	0.007048	0.000005	0.000012	0.000104	0.000987	0.012111
11	0.009063	0.000005	0.000013	0.000113	0.000797	0.007249
12	0.014237	0.000007	0.000012	0.000106	0.001050	0.009268
13	0.015522	0.000006	0.000008	0.000063	0.000701	0.005553
14	0.011905	0.000004	0.000009	0.000055	0.000620	0.007669
15	0.014940	0.000006	0.000006	0.000053	0.000590	0.008577
16	0.017570	0.000006	0.000011	0.000072	0.000733	0.006389
