Matrix multiplication time (seconds)
		100			1000			3000	
1	0.003038	2.920947	77.216439
2	0.001461	1.559050	50.282584
3	0.001019	1.553122	40.286498
4	0.000701	1.170612	35.344804
5	0.000566	1.223134	31.861084
6	0.001116	1.177751	30.613534
7	0.000915	1.137193	29.996177
8	0.001029	1.243889	29.984700
9	0.000987	1.111330	27.577547
10	0.000655	1.337985	29.425064
11	0.000310	1.009322	29.968584
12	0.000682	1.679163	29.075497
13	0.000626	1.480697	29.835093
14	0.000499	1.419148	30.455662
15	0.000466	0.889819	29.766710
16	0.000625	2.469096	30.796756

