Matrix multiplication time (seconds)
		100			1000			3000	
1	0.005617	3.299667	80.881416
2	0.001718	1.813979	51.288897
3	0.001278	1.484334	41.473442
4	0.001711	1.381896	36.511979
5	0.001563	1.247018	33.045561
6	0.001321	1.215129	31.564544
7	0.001325	1.406513	30.108153
8	0.001263	1.072385	30.991241
9	0.001690	1.223745	31.632134
10	0.001443	1.118608	31.628802
11	0.001340	1.075631	31.117768
12	0.001601	1.097201	31.634610
13	0.001509	1.045663	30.832747
14	0.001440	1.061095	32.035122
15	0.001525	1.084170	31.471130
16	0.001574	1.086397	32.078784
