
Sequential: pi = 3.1413926536, N = 5000

	N=5000		N=50000		N=500000		N=5000000		N=50000000		N=500000000	
1	0.000070	0.001219	0.008387	0.058356	0.403986	3.378749
2	0.000145	0.000460	0.007727	0.043065	0.287517	1.579797
3	0.000211	0.000533	0.004214	0.046712	0.158037	1.047083
4	0.000130	0.000384	0.002478	0.025731	0.175982	0.900154
5	0.003661	0.000194	0.001346	0.025536	0.104578	0.758139
6	0.001159	0.000099	0.001162	0.016382	0.082693	0.680590
7	0.031011	0.000075	0.002239	0.005977	0.073051	0.682458
8	0.031921	0.000057	0.000566	0.008095	0.068526	0.782280
9	0.010765	0.000057	0.001715	0.027178	0.156153	0.905504
10	0.012567	0.000066	0.064590	0.006752	0.057056	0.851477
11	0.044100	0.000043	0.000602	0.006566	0.180048	0.910190
12	0.102937	0.000053	0.000608	0.004058	0.123065	1.082202
13	0.062065	0.000034	0.000316	0.204967	0.057838	0.670792
14	0.093444	0.000066	0.000312	0.179162	0.179892	0.542436
15	0.139650	0.000032	0.000291	0.375124	0.040094	0.457229
16	0.158847	0.000030	0.000251	0.003761	0.068808	0.692588

